Num,Street,Ward,Year,count,name_label,Location,address,Addr,person_id,wkt
4,Barrett Pl,2,2023,1,1 Tulip Tree 'Emerald City',Tree Belt,4 Barrett Pl,4 Barrett Pl,1,POINT (106330.9 897562.3)
4,Chestnut St,5,2025,2,2 Sweetgum 'Moraine',RoW,4 Chestnut St,4 Chestnut St,11,POINT (103726.4 898772.4)
4,Moser St,2,2023,1,1 Sweetgum 'Moraine',Tree Belt,4 Moser St,4 Moser St,15,POINT (105499.7 896480.9)
4,Warfield Pl,1,2023,1,1 River Birch,Setback,4 Warfield Pl,4 Warfield Pl,1,POINT (106327.9 897907.5)
4,Warfield Pl,1,2024,1,1 Tulip Tree 'Emerald City',Tree Belt,4 Warfield Pl,4 Warfield Pl,1,POINT (106334.4 897898.5)
5,Orchard St,3,2025,1,"1 Ginkgo ""Princeton Sentry""",Tree Belt,5 Orchard St,5 Orchard St,13,POINT (107223.6 897964.7)
6,Hatfield St,5,2024,3,2 Kentucky Coffee Tree<br>1 Elm,RoW,6 Hatfield St,6 Hatfield St,8,POINT (104688 898722.6)
6,Hatfield St,5,2025,1,1 Frontier Elm,Tree Belt,6 Hatfield St,6 Hatfield St,8,POINT (104681.4 898722.7)
6,Service Center Rd,3,2023,3,2 Amur Maackia<br>1 River Birch,"Setback, Tree Belt",6 Service Center Rd,6 Service Center Rd,12,POINT (107227.3 896544.6)
6,Service Center Rd,3,2024,2,1 River Birch<br>1 Winter King Hawthorn,"RoW, Setback",6 Service Center Rd,6 Service Center Rd,12,POINT (107220.7 896544.6)
8,Moser St,2,2023,1,1 Sweetgum 'Moraine',Tree Belt,8 Moser St,8 Moser St,15,POINT (105493.2 896481)
8,Warfield Pl,1,2024,1,1 Tulip Tree 'Emerald City',Tree Belt,8 Warfield Pl,8 Warfield Pl,1,POINT (106305.9 897893.8)
9,Blackberry Lane,1,2023,3,2 White Ceder<br>1 Winterking Hawthorne,Setback,9 Blackberry Lane,9 Blackberry Lane,14,POINT (105370.3 898789.7)
9,Park St,5,2025,2,1 Blackgum<br>1 Linden 'American Sentry',Setback,9 Park St,9 Park St,11,POINT (103223.5 898642.6)
12,Lincoln Ave,3,2023,1,1 Winterking Hawthorne,Tree Belt,12 Lincoln Ave,12 Lincoln Ave,13,POINT (107249.1 898138.2)
12,Moser St,2,2023,1,1 Sweetgum 'Moraine',Tree Belt,12 Moser St,12 Moser St,15,POINT (105469.4 896476.8)
12,Winslow Ave,5,2023,1,1 Ginkgo 'Princeton Sentry',Setback,12 Winslow Ave,12 Winslow Ave,8,POINT (104418.5 897981.5)
13,Grove Ave,7,2024,3,2 Winter King Hawthorn<br>1 Redbud,Setback,13 Grove Ave,13 Grove Ave,9,POINT (101228.5 901143.8)
13,Hubbard Ave,3,2025,1,1 Turkish Filbert,Tree Belt,13 Hubbard Ave,13 Hubbard Ave,13,POINT (107471.4 898610.8)
14,Hubbard Ave,3,2025,2,"2 Redbud 'Minnesota Hardy""",Tree Belt,14 Hubbard Ave,14 Hubbard Ave,13,POINT (107457.4 898577.3)
14,Moser St,2,2023,1,1 Sweetgum 'Moraine',Tree Belt,14 Moser St,14 Moser St,15,POINT (105462.8 896476.9)
15,Butler Pl,3,2024,1,1 Ginkgo 'Princeton Sentry',Tree Belt,15 Butler Pl,15 Butler Pl,5,POINT (107255.9 897203.2)
15,Warfield Pl,1,2023,1,1 Tulip Tree 'Emerald City',Setback,15 Warfield Pl,15 Warfield Pl,1,POINT (106281.2 897922.1)
16,Munroe St,4,2024,1,1 Ginkgo 'Princeton Sentry',Tree Belt,16 Munroe St,16 Munroe St,10,POINT (106603.6 896328.5)
16,Ridgeview Rd,6,2025,3,"2 Honey Locust ""Shademaster""<br>1 Kentucky Coffeetree Espresso",RoW,16 Ridgeview Rd,16 Ridgeview Rd,2,POINT (98526.77 894248.8)
17,East St,4,2023,1,1 Sweetgum 'Moraine',Setback,17 East St,17 East St,10,POINT (106633.1 896220.6)
17,East St,4,2024,1,1 Tulip Tree 'Emerald City',Setback,17 East St,17 East St,10,POINT (106626.5 896220.7)
17,Hubbard Ave,3,2025,4,2 Hardy Rubber Tree<br>1 American Hornbeam<br>1 Turkish Filbert,"RoW, Tree Belt",17 Hubbard Ave,17 Hubbard Ave,13,POINT (107451.7 898619.1)
17,New South St,4,2023,1,1 Kentucky Coffeetree Espresso,Setback,17 New South St,17 New South St,12,POINT (106492.5 896897.8)
17,Ridgeview Rd,6,2025,2,"1 Honey Locust ""Shademaster""<br>1 Kentucky Coffeetree Espresso",RoW,17 Ridgeview Rd,17 Ridgeview Rd,2,POINT (98506.19 894240.6)
17,Spring St,7,2023,2,2 Silver Linden,Setback,17 Spring St,17 Spring St,3,POINT (102797.2 898604)
18,Hampden St,4,2024,2,2 Silver Linden,Setback,18 Hampden St,18 Hampden St,10,POINT (105964 895851.3)
18,Hubbard Ave,3,2025,2,"1 Redbud 'Minnesota Hardy""<br>1 Serviceberry 'Autumn Brilliance'",Tree Belt,18 Hubbard Ave,18 Hubbard Ave,13,POINT (107428.3 898588.8)
18,Stoddard St,1,2023,1,1 Winterking Hawthorne,Tree Belt,18 Stoddard St,18 Stoddard St,1,POINT (106237 898079.4)
19,East St,4,2023,1,1 Dogwood,Setback,19 East St,19 East St,10,POINT (106637.1 896209.2)
20,Florence St,7,2023,18,"7 Silver Linden<br>2 Amur Maackia<br>2 Common Hackberry<br>2 Honey Locust ""Imperial""<br>2 London Plane<br>1 Elm 'Accolade'<br>1 Sweetgum 'Moraine'<br>1 Winterking Hawthorne","RoW, School",20 Florence St,20 Florence St,9,POINT (101267.3 900852.5)
20,Hawthorne Terr,6,2025,2,2 Turkish Filbert,Tree Belt,20 Hawthorne Terr,20 Hawthorne Terr,2,POINT (102085 894882.4)
20,Middle St,5,2023,1,1 London Plane,Setback,20 Middle St,20 Middle St,11,POINT (103660.5 898784.3)
21,Howes St,7,2023,2,2 Black Gum,Setback,21 Howes St,21 Howes St,6,POINT (103528.7 899919.2)
22,Stoddard St,1,2024,1,"1 Crabapple ""Prairiefire""",Tree Belt,22 Stoddard St,22 Stoddard St,1,POINT (106252.4 898093.4)
22,Woodbine Ave,3,2024,2,2 Winter King Hawthorn,Tree Belt,22 Woodbine Ave,22 Woodbine Ave,13,POINT (107009.6 898328.2)
25,Armory St,4,2025,10,"10 Honey Locust ""Shademaster""",Tree Belt,25 Armory St,25 Armory St,12,POINT (106907.3 897099.5)
25,Woodlawn Ave,2,2023,1,1 Sweetgum 'Moraine',Tree Belt,25 Woodlawn Ave,25 Woodlawn Ave,14,POINT (105394.8 897932.5)
26,Crescent St,2,2024,2,2 Satin Shadow Linden,Setback,26 Crescent St,26 Crescent St,1,POINT (106175.7 897653.8)
26,James Ave,2,2025,1,1 Yellowwood,Setback,26 James Ave,26 James Ave,7,POINT (105137.1 897221.1)
29,Howes St,7,2023,2,2 Black Gum,Setback,29 Howes St,29 Howes St,6,POINT (103529 899879)
29,Munroe St,4,2023,1,1 Black Gum,Setback,29 Munroe St,29 Munroe St,10,POINT (106643.7 896256.1)
29,Munroe St,4,2024,2,2 Higan Cherry,Tree Belt,29 Munroe St,29 Munroe St,10,POINT (106643.5 896244.6)
30,Locust St,5,2023,1,1 Yellowwood,Tree Belt,30 Locust St,30 Locust St,8,POINT (104912.3 898408.3)
31,Wilson Ave,3,2025,1,1 Ginkgo 'Princeton Sentry',Tree Belt,31 Wilson Ave,31 Wilson Ave,12,POINT (106909.1 896773.6)
32,Barrett Pl,2,2024,2,2 Hackberry,RoW,32 Barrett Pl,32 Barrett Pl,1,POINT (106232.1 897474.9)
34,Hubbard Ave,3,2025,1,1 Serviceberry 'Autumn Brilliance',Tree Belt,34 Hubbard Ave,34 Hubbard Ave,13,POINT (107403.5 898601)
35,Conz St,3,2024,3,"1 Ginkgo 'Princeton Sentry'<br>1 Sweetgum ""Moraine""<br>1 Winter King Hawthorn",Setback,35 Conz St,35 Conz St,12,POINT (106860.6 896624.9)
35,Fox Farms Rd,5,2024,3,3 Serviceberry,Setback,35 Fox Farms Rd,35 Fox Farms Rd,4,POINT (103787.2 899792)
35,Hubbard Ave,3,2025,2,"2 Ginkgo ""Princeton Sentry""",Tree Belt,35 Hubbard Ave,35 Hubbard Ave,13,POINT (107404 898639)
36,Hawley St,3,2025,1,1 Kentucky Coffeetree Espresso,Tree Belt,36 Hawley St,36 Hawley St,5,POINT (107172.8 897239.3)
38,Hubbard Ave,3,2025,1,"1 Redbud 'Minnesota Hardy""",Tree Belt,38 Hubbard Ave,38 Hubbard Ave,13,POINT (107382 898609.2)
38,North Elm St,5,2023,1,1 Exclamation London Plane Tree,Tree Belt,38 North Elm St,38 North Elm St,8,POINT (105199.4 897943.4)
38,Summer St,4,2024,1,1 Honeylocust 'Street Keeper',Tree Belt,38 Summer St,38 Summer St,1,POINT (106472.5 897637.9)
39,Ridgeview Rd,6,2025,3,1 Blackgum<br>1 Exclamation Londonplane<br>1 Swamp White Oak,Tree Belt,39 Ridgeview Rd,39 Ridgeview Rd,2,POINT (98552.15 894138.5)
39,Wilson Ave,3,2025,1,1 Ginkgo 'Princeton Sentry',Tree Belt,39 Wilson Ave,39 Wilson Ave,12,POINT (106924.2 896787.4)
40,Stoddard St,1,2024,1,1 American Hop Hornbeam,Setback,40 Stoddard St,40 Stoddard St,1,POINT (106328.4 898152.1)
42,Hubbard Ave,3,2025,2,"2 Redbud 'Minnesota Hardy""","RoW, Tree Belt",42 Hubbard Ave,42 Hubbard Ave,13,POINT (107365.6 898614.4)
42,Stoddard St,1,2024,1,1 American Hop Hornbeam,Setback,42 Stoddard St,42 Stoddard St,1,POINT (106321.8 898152.2)
44,Stoddard St,1,2024,2,1 American Hop Hornbeam<br>1 Swamp White Oak 'American Dream',Setback,44 Stoddard St,44 Stoddard St,1,POINT (106350.5 898160)
45,Stoddard St,1,2024,1,1 Tulip Tree 'Emerald City',Setback,45 Stoddard St,45 Stoddard St,1,POINT (106352.6 898118.1)
46,Middle St,5,2023,2,2 Tulip Tree 'Emerald City',Setback,46 Middle St,46 Middle St,11,POINT (103545.7 898788.2)
47,Burts Pit Rd,2,2025,1,1 Bur Oak,RoW,47 Burts Pit Rd,47 Burts Pit Rd,15,POINT (104880.4 896372.3)
47,Orchard St,3,2024,1,1 Ginkgo 'Princeton Sentry',Tree Belt,47 Orchard St,47 Orchard St,13,POINT (107055 898100.3)
48,Meadow St,7,2023,1,1 Redbud,RoW,48 Meadow St,48 Meadow St,11,POINT (103102.8 898867)
49,Ridgeview Rd,6,2025,1,1 Hardy Rubber Tree,Tree Belt,49 Ridgeview Rd,49 Ridgeview Rd,2,POINT (98564.21 894095.5)
49,Woodlawn Ave,1,2025,1,1 Red Bud,Tree Belt,49 Woodlawn Ave,49 Woodlawn Ave,14,POINT (105463.1 897981.5)
50,Hubbard Ave,3,2025,1,1 Bur Oak,RoW,50 Hubbard Ave,50 Hubbard Ave,13,POINT (107325.5 898627.4)
50,Musante Dr,2,2023,3,3 Kentucky Coffeetree Espresso,Tree Belt,50 Musante Dr,50 Musante Dr,15,POINT (105238.5 896419.8)
50,Revell Ave,4,2024,1,1 Hackberry,Tree Belt,50 Revell Ave,50 Revell Ave,10,POINT (106245.6 895957.1)
51,Prince St,2,2024,5,2 Kentucky Coffee Tree<br>1 Hackberry<br>1 Shag Bark Hickory<br>1 Yellowwood,RoW,51 Prince St,51 Prince St,10,POINT (105627.5 896270.2)
51,Stoddard St,1,2024,1,1 American Hop Hornbeam,Setback,51 Stoddard St,51 Stoddard St,1,POINT (106376.1 898134.2)
52,Revell Ave,4,2024,2,1 Hackberry<br>1 Redbud,Tree Belt,52 Revell Ave,52 Revell Ave,10,POINT (106260.5 895949.8)
52,Sovereign Way,6,2024,1,"1 Sweetgum ""Moraine""",NA,52 Sovereign Way,52 Sovereign Way,2,POINT (101444.4 895497.4)
53,Acrebrook Dr,6,2024,5,3 Hardy Rubber Tree<br>2 Blackgum Wildfire,Setback,53 Acrebrook Dr,53 Acrebrook Dr,3,POINT (101987.4 897191.8)
57,Sovereign Way,6,2025,1,1 Sweetgum 'Moraine',RoW,57 Sovereign Way,57 Sovereign Way,2,POINT (101524.8 895560.6)
59,Fort St,4,2025,2,"2 Ginkgo ""Princeton Sentry""",Setback,59 Fort St,59 Fort St,10,POINT (106512.2 895959.5)
59,Pomeroy Terr,3,2023,3,3 Amur Maackia,Tree Belt,59 Pomeroy Terr,59 Pomeroy Terr,5,POINT (107351.2 897284.9)
60,Maynard Rd,2,2024,1,1 Serviceberry,Tree Belt,60 Maynard Rd,60 Maynard Rd,7,POINT (105365.2 897425.5)
68,North Main St,7,2024,1,1 Exclamation Londonplane,Setback,68 North Main St,68 North Main St,11,POINT (103199.7 899152.3)
70,Meadow St,7,2023,2,2 Redbud,Setback,70 Meadow St,70 Meadow St,11,POINT (103015.1 898849.8)
72,Pomeroy Terr,3,2024,2,2 Kentucky Coffee Tree,Tree Belt,72 Pomeroy Terr,72 Pomeroy Terr,5,POINT (107431 897248.4)
74,Sovereign Way,6,2024,6,6 Dawn Redwood,RoW,74 Sovereign Way,74 Sovereign Way,2,POINT (101426.2 895610.7)
75,Harrison Ave,2,2024,1,1 Red Maple,Tree Belt,75 Harrison Ave,75 Harrison Ave,7,POINT (105472 897318.2)
75,Harrison Ave,2,2025,2,2 Red Maple,Tree Belt,75 Harrison Ave,75 Harrison Ave,7,POINT (105465.4 897318.3)
76,Pine St,5,2025,1,1 Serviceberry 'Autumn Brilliance',Setback,76 Pine St,76 Pine St,11,POINT (103561.3 898610.7)
77,Warner St,5,2023,1,"1 Gingko ""Autumn Gold""",Tree Belt,77 Warner St,77 Warner St,8,POINT (104249.3 897773.7)
78,Maynard Rd,2,2024,1,1 American Hornbeam,Tree Belt,78 Maynard Rd,78 Maynard Rd,7,POINT (105317.7 897380.2)
78,Moser St,2,2024,13,"8 Sweetgum ""Moraine""<br>5 Hardy Rubber Tree",Tree Belt,78 Moser St,78 Moser St,15,POINT (105228 896427.1)
78,Moser St,2,2025,1,1 Sweetgum 'Moraine',Tree Belt,78 Moser St,78 Moser St,15,POINT (105221.4 896427.2)
78,Pomeroy Terr,3,2025,1,1 Kentucky Coffeetree Espresso,Tree Belt,78 Pomeroy Terr,78 Pomeroy Terr,5,POINT (107443.2 897223.4)
79,Milton St,5,2025,1,1 Common Hackberry,Setback,79 Milton St,79 Milton St,8,POINT (104847.9 897709)
